Epoch,Train Loss_DeepFE+MLP,Train Loss_FE+DR+MLP,Train Loss_FE+MLP,Train Loss_MLP,Val Loss_DeepFE+MLP,Val Loss_FE+DR+MLP,Val Loss_FE+MLP,Val Loss_MLP,Train Acc_DeepFE+MLP,Train Acc_FE+DR+MLP,Train Acc_FE+MLP,Train Acc_MLP,Val Acc_DeepFE+MLP,Val Acc_FE+DR+MLP,Val Acc_FE+MLP,Val Acc_MLP
74,2.8685,3.6388,3.0432,,3.1947,3.5687,3.2903,,0.3068,0.1926,0.2744,,0.232,0.176,0.2202,
75,2.8615,3.6404,3.0356,,3.2018,3.5676,3.2902,,0.3074,0.1935,0.2758,,0.2364,0.1744,0.2192,
76,2.856,3.6347,3.0285,,3.2059,3.5645,3.2967,,0.3036,0.1926,0.2743,,0.2408,0.1762,0.2186,
77,2.8504,3.6294,3.021,,3.1916,3.5623,3.2804,,0.3108,0.1941,0.2793,,0.2384,0.1768,0.2218,
78,2.8451,3.6301,3.0146,,3.2022,3.5586,3.2802,,0.308,0.195,0.2788,,0.2356,0.1782,0.2226,
79,2.8392,3.6299,3.0074,,3.1879,3.5584,3.2803,,0.3112,0.1956,0.2786,,0.2394,0.178,0.2186,
80,2.8327,3.6274,2.9992,,3.2079,3.5568,3.2774,,0.3098,0.1964,0.2808,,0.2356,0.1788,0.221,
81,2.8272,3.6235,2.9938,,3.1829,3.5545,3.2758,,0.3136,0.1952,0.2813,,0.241,0.178,0.226,
82,2.8209,3.6221,2.9864,,3.1873,3.554,3.2727,,0.314,0.1966,0.2839,,0.2386,0.1766,0.2186,
83,2.8161,3.6227,2.9802,,3.1933,3.5535,3.2707,,0.3135,0.1972,0.2844,,0.237,0.1786,0.2214,
84,2.8092,3.6186,2.9732,,3.1974,3.5497,3.2664,,0.3137,0.1972,0.2864,,0.2372,0.1794,0.2276,
85,2.8044,3.6167,2.9657,,3.1835,3.5486,3.2681,,0.3192,0.1977,0.2862,,0.2394,0.1796,0.223,
86,2.7993,3.6165,2.9585,,3.1847,3.546,3.2631,,0.3175,0.1976,0.2904,,0.239,0.1788,0.2254,
87,2.7937,3.6135,2.9524,,3.1729,3.5454,3.2498,,0.3193,0.1976,0.292,,0.2432,0.1802,0.2292,
88,2.787,3.6099,2.9445,,3.1725,3.5438,3.2584,,0.3225,0.1979,0.2914,,0.246,0.1796,0.2284,
89,2.7824,3.607,2.939,,3.1768,3.5427,3.2604,,0.3198,0.1987,0.2916,,0.239,0.1818,0.2228,
90,2.7753,3.6078,2.9319,,3.168,3.5399,3.2528,,0.324,0.1996,0.2941,,0.2404,0.1812,0.224,
91,2.7701,3.6044,2.9259,,3.1627,3.5396,3.2461,,0.3265,0.1999,0.2936,,0.2434,0.182,0.2264,
92,2.7638,3.6023,2.9199,,3.1665,3.5381,3.2405,,0.3252,0.2,0.299,,0.246,0.1802,0.2312,
93,2.7595,3.6016,2.9131,,3.1785,3.5383,3.2404,,0.3255,0.2,0.2972,,0.2406,0.182,0.2248,
94,2.7526,3.5999,2.9057,,3.1603,3.5369,3.2319,,0.3298,0.2003,0.3004,,0.2464,0.1826,0.229,
95,2.7471,3.6023,2.8996,,3.1583,3.5366,3.2419,,0.3304,0.2004,0.3001,,0.2446,0.1812,0.2252,
96,2.7407,3.5981,2.8938,,3.1777,3.5341,3.2331,,0.3317,0.2006,0.3012,,0.2384,0.1816,0.2266,
97,2.7351,3.5938,2.8867,,3.1622,3.5329,3.2371,,0.3332,0.2007,0.3052,,0.2408,0.1814,0.2322,
98,2.7299,3.5983,2.8804,,3.172,3.533,3.2301,,0.3339,0.2007,0.3078,,0.2414,0.182,0.222,
99,2.7257,3.5952,2.8748,,3.1754,3.5326,3.235,,0.3286,0.2015,0.3035,,0.2398,0.1814,0.2266,
100,2.7183,3.5934,2.868,,3.1524,3.5315,3.2237,,0.3356,0.2015,0.3082,,0.2454,0.1816,0.2302,
